objName,objGroup,transX,transY,transZ,scaleX,scaleY,scaleZ,rotateX,rotateY,rotateZ,light1,light2,light3,light4,shadow,shader1,shader2,shader3,shader4,misc1,misc2,misc3,misc4
#groundPlane,1,0,0,0,0.5,0.5,0.5,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0
planarTrimmedSurface3,21,-158.470861,-22.85082983,107.8086694,0.3405851998,0.3405851998,0.3405851998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane23,8,-164.2828271,-26.02918038,121.6035806,1.150261134,1.150261134,1.150261134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane26,15,-159.6201403,-24.70995317,117,0.3458143242,0.3458143242,0.3458143242,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane27,16,-161,-24.8483459,117.5867238,0.3307877911,0.3307877911,0.3307877911,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane31,5,-158.4931314,-26.31994969,121.3526502,0.2408482731,0.2408482731,0.2408482731,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane32,3,-163.5672523,-24.62063224,116.2105756,0.2188173322,0.2188173322,0.2188173322,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane33,13,-161.7433672,-26.87668604,123.1168779,0.3719867626,0.3719867626,0.3719867626,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane35,12,-156.0127998,-25.12339768,115.8300107,0.3406267669,0.3406267669,0.3406267669,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane37,14,-160.422422,-24.57495037,114.1358412,0.3535796355,0.3535796355,0.3535796355,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane41,13,-161.7433672,-26.38969403,121.1507964,0.3719867626,0.3719867626,0.3719867626,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane42,0,-156.0127998,-25.12339768,115.8300107,0.3406267669,0.3406267669,0.3406267669,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane45,4,-155.0565993,-25.50988292,117.6561786,0.3009209397,0.3009209397,0.3009209397,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane48,5,-158.4931314,-27.18195289,123.6860575,0.2408482731,0.2408482731,0.2408482731,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane30,6,-168,-24.44420484,116.6623156,0.2726168641,0.2726168641,0.2726168641,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane40,12,-167.4301257,-26.17753525,121.0242158,0.2935803614,0.2935803614,0.2935803614,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane25,9,-169.2345481,-26.37340928,123.8615415,0.3660678004,0.3660678004,0.3660678004,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane19,2,-165.9148383,-23.17149702,112.7476729,0.09838312646,0.09838312646,0.09838312646,90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
pPlane22,8,-170.6382769,-25.03253131,120.8359542,0.1939028552,0.1939028552,0.1939028552,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane24,7,-169,-24.7601222,119,0.2835027355,0.2835027355,0.2835027355,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane34,12,-166.1088634,-25.23084205,118.0846925,0.2935803614,0.2935803614,0.2935803614,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane43,12,-172.540194,-26.00612359,122.8733307,0.2935803614,0.2935803614,0.2935803614,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPlane29,4,-162.7152038,-25.50988292,119.3653285,0.3009209397,0.3009209397,0.3009209397,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
